ORDER ID,Order Date,Customer_id,Gender,STATE,Region,category,Subcategory,Product_Name,Quantity,unit price,discount%,FINAL AMOUNT,payment mode,order_source
ORD10019,2024-10-03,CUST8886,Female,Telangana,South,Electronics,,Mobiles Item 871,2,11399,9.06,20731.56,UPI,Website
ORD10020,2024-07-13,CUST8973,Female,Delhi,North,Beauty,Haircare,Haircare Item 902,4,19194,23.46,58764.24,Credit Card,Website
ORD10021,2024-01-30,CUST9701,Female,Bihar,East,Electronics,Audio,Audio Item 158,1,38784,9.77,34995.62,,App
ORD10022,2024-04-05,CUST1651,Male,Haryana,North,Electronics,,Laptops Item 513,1,37834,10.45,33881.48,,WEB
ORD10023,2024-09-24,CUST3144,Other,Maharashtra,West,Home & Kitchen,,Decor Item 785,3,16142,8.98,44075.3,Credit Card,
ORD10024,2024-02-07,CUST3170,Other,Delhi,North,Beauty,Skincare,Skincare Item 175,5,14469,25.12,54173.6,COD,Mobile Web
ORD10025,2024-05-25,CUST5905,Male,Punjab,North,Beauty,Haircare,Haircare Item 726,5,1012,28.36,3625.12,Credit Card,App
ORD10026,2024-02-24,CUST4335,Other,Kerala,South,Fashion,,Accessories Item 388,5,14303,24.35,54099.49,Credit Card,
ORD10027,2024-01-27,CUST5291,Female,Haryana,North,Beauty,,Haircare Item 145,1,22359,30.42,15556.86,,
ORD10028,2024-08-06,CUST7049,Female,Odisha,East,Electronics,,Mobiles Item 177,2,36255,5.36,68623.26,COD,App
ORD10029,2024-06-06,CUST7658,Female,Maharashtra,West,Electronics,Audio,Audio Item 315,2,44208,6.03,83086.34,COD,
ORD10030,2024-03-31,CUST5065,Other,Gujarat,West,Electronics,Laptops,Laptops Item 854,3,27482,18.23,67415.03,UPI,app
ORD10031,2024-01-20,CUST4728,Female,Telangana,South,Beauty,Makeup,Makeup Item 304,4,23415,21.1,73894.16,COD,app
ORD10032,2024-06-17,CUST9785,Other,Rajasthan,West,Electronics,Audio,Audio Item 459,5,26693,11.8,117722.56,UPI,Mobile Web
ORD10033,2024-04-01,CUST6139,,Bihar,East,Home & Kitchen,Furniture,Furniture Item 211,5,28979,14.26,124233.8,Debit Card,WEB
ORD10034,2024-04-07,CUST4228,Other,Rajasthan,West,Electronics,,Accessories Item 101,5,35787,16.62,149203.16,UPI,
ORD10035,2024-06-18,CUST7691,Other,Bihar,East,Home & Kitchen,,Furniture Item 837,3,33734,9.64,91446.87,Credit Card,WEB
ORD10036,2024-03-06,CUST7653,Male,Uttar Pradesh,North,Beauty,,Fragrance Item 793,2,40838,26.38,60128.15,Credit Card,Website
ORD10037,2024-08-08,CUST8752,Female,Karnataka,South,Home & Kitchen,Appliances,Appliances Item 552,4,44777,8.21,164411.26,Credit Card,WEB
ORD10038,2024-12-05,CUST4262,Female,Tamil Nadu,South,Home & Kitchen,Furniture,Furniture Item 938,2,44592,9.66,80572.13,UPI,Website
ORD10039,2024-08-31,CUST7291,,Bihar,East,Electronics,,Accessories Item 524,5,13242,12.18,58143.33,COD,Website
ORD10040,2024-12-01,CUST9486,,Kerala,South,Electronics,Mobiles,Mobiles Item 897,4,14841,6.76,55351.67,,Website
ORD10041,2024-03-03,CUST8251,,West Bengal,East,Fashion,,Ethnic Item 783,5,37129,21.91,144971.95,COD,
ORD10042,2024-08-31,CUST4919,Other,West Bengal,East,Home & Kitchen,,Decor Item 960,3,34663,12.27,91230.64,UPI,
ORD10043,2024-05-26,CUST4788,,Uttar Pradesh,North,Home & Kitchen,Storage,Storage Item 427,5,5780,7.08,26855.15,COD,App
ORD10044,2024-07-31,CUST7381,Male,Gujarat,West,Home & Kitchen,,Appliances Item 525,1,14055,17.49,11596.31,Debit Card,App
ORD10045,2024-06-29,CUST8999,Female,Rajasthan,West,Beauty,,Fragrance Item 651,5,40034,32.96,134201.52,Debit Card,app
ORD10046,2024-01-15,CUST9751,Male,Gujarat,West,Home & Kitchen,,Appliances Item 841,2,31130,18.79,50559.4,,WEB
ORD10047,2024-12-05,CUST7211,Other,Delhi,North,Electronics,Accessories,Accessories Item 238,4,12409,5.5,46904.61,Debit Card,Mobile Web
ORD10048,2024-06-21,CUST8705,Male,Karnataka,South,Beauty,Haircare,Haircare Item 870,4,17032,31.7,46532.64,Credit Card,Website
ORD10049,2024-11-28,CUST4908,Female,Haryana,North,Electronics,,Mobiles Item 353,2,1835,11.21,3258.47,UPI,WEB
ORD10050,2024-04-21,CUST2876,Female,West Bengal,East,Home & Kitchen,,Storage Item 271,5,40296,19.46,162280.01,UPI,WEB
ORD10051,2024-01-14,CUST4978,Male,Rajasthan,West,Beauty,,Fragrance Item 832,2,5480,26.84,8018.12,,
ORD10052,2024-03-02,CUST9289,Other,Karnataka,South,Electronics,Audio,Audio Item 645,4,43853,8.71,160141.14,Debit Card,
ORD10053,2024-09-07,CUST3885,Other,Haryana,North,Beauty,,Haircare Item 750,4,46854,18.06,153569.0,Debit Card,app
ORD10054,2024-10-30,CUST4995,,Rajasthan,West,Home & Kitchen,,Decor Item 950,1,18779,25.51,13987.68,Credit Card,App
ORD10055,2024-09-10,CUST6576,Other,Telangana,South,Home & Kitchen,,Decor Item 599,2,23753,16.97,39445.43,,App
ORD10056,2024-09-21,CUST4937,,Uttar Pradesh,North,Electronics,,Laptops Item 837,4,32519,10.55,116350.69,Debit Card,
ORD10057,2024-01-09,CUST7046,,Haryana,North,Home & Kitchen,,Decor Item 514,2,20567,14.96,34980.6,Debit Card,
ORD10058,2024-10-08,CUST4155,Other,Maharashtra,West,Home & Kitchen,Appliances,Appliances Item 377,3,16975,8.46,46617.73,,
ORD10059,2024-12-19,CUST9595,Other,Punjab,North,Fashion,Women Wear,Women Wear Item 856,4,18620,24.49,56238.58,COD,Mobile Web
ORD10060,2024-04-26,CUST1893,Other,Maharashtra,West,Fashion,Accessories,Accessories Item 114,5,8795,15.49,37164.93,Debit Card,App
ORD10061,2024-01-07,CUST1841,Other,Bihar,East,Home & Kitchen,,Appliances Item 590,4,22828,7.77,84221.21,UPI,
ORD10062,2024-02-03,CUST5978,Male,Gujarat,West,Beauty,Skincare,Skincare Item 690,1,10443,17.98,8564.94,UPI,WEB
ORD10063,2024-08-01,CUST8025,Other,Bihar,East,Fashion,Ethnic,Ethnic Item 561,4,19987,27.2,58199.48,,
ORD10064,2024-02-20,CUST2229,Female,Karnataka,South,Fashion,Women Wear,Women Wear Item 370,1,10792,14.8,9195.08,Debit Card,app
ORD10065,2024-12-18,CUST8438,Male,Bihar,East,Beauty,Haircare,Haircare Item 133,2,19381,29.14,27467.1,Credit Card,
ORD10066,2024-11-16,CUST5352,Female,Bihar,East,Fashion,Ethnic,Ethnic Item 217,5,15233,22.95,58683.08,UPI,Website
ORD10067,2024-06-06,CUST7594,Other,Bihar,East,Home & Kitchen,,Appliances Item 227,4,45633,9.56,165079.44,Debit Card,App
ORD10068,2024-11-02,CUST1339,Other,Delhi,North,Beauty,Haircare,Haircare Item 718,3,2195,16.83,5476.97,COD,app
ORD10069,2024-09-22,CUST9056,Male,Tamil Nadu,South,Beauty,,Haircare Item 285,5,29066,27.7,105079.85,Credit Card,app
ORD10070,2024-06-19,CUST7561,Male,Maharashtra,West,Electronics,,Laptops Item 437,4,45960,9.95,165539.3,UPI,Mobile Web
ORD10071,2024-05-09,CUST9889,,Maharashtra,West,Electronics,,Accessories Item 985,5,575,11.58,2542.17,UPI,Website
ORD10072,2024-09-22,CUST3146,Other,Maharashtra,West,Beauty,,Fragrance Item 878,1,13840,20.34,11024.79,Debit Card,App
ORD10073,2024-01-15,CUST2527,Female,Tamil Nadu,South,Fashion,Women Wear,Women Wear Item 418,5,1396,21.05,5511.06,Debit Card,App
ORD10074,2024-11-27,CUST7807,,Telangana,South,Fashion,,Ethnic Item 833,3,33849,24.11,77065.81,COD,app
ORD10075,2024-10-09,CUST2143,Other,Punjab,North,Beauty,,Makeup Item 713,5,49409,32.59,166541.62,Credit Card,
ORD10076,2024-09-16,CUST9022,Female,Rajasthan,West,Electronics,,Audio Item 843,3,38965,10.8,104271.24,,app
ORD10077,2024-06-25,CUST7274,Female,Maharashtra,West,Beauty,,Fragrance Item 429,2,46211,19.78,74144.52,UPI,Mobile Web
ORD10078,2024-08-30,CUST3068,Other,Kerala,South,Beauty,Fragrance,Fragrance Item 779,2,32961,34.3,43313.07,Debit Card,App
ORD10079,2024-09-26,CUST5342,Other,West Bengal,East,Electronics,,Laptops Item 519,2,5403,9.69,9758.37,UPI,
ORD10080,2024-06-17,CUST2121,Female,Telangana,South,Beauty,,Haircare Item 741,4,35956,15.72,121217.77,COD,
ORD10081,2024-02-16,CUST1474,Male,Gujarat,West,Electronics,,Mobiles Item 554,2,45982,7.99,84611.79,UPI,Mobile Web
ORD10082,2024-07-02,CUST3950,Female,Maharashtra,West,Beauty,Makeup,Makeup Item 350,5,27504,26.32,101326.71,UPI,WEB
ORD10083,2024-07-14,CUST5161,,Bihar,East,Fashion,,Ethnic Item 697,2,15716,19.22,25389.83,UPI,
ORD10084,2024-08-26,CUST7951,Other,Rajasthan,West,Fashion,,Men Wear Item 552,3,39007,15.98,98317.43,Credit Card,Website
ORD10085,2024-07-15,CUST5847,Other,Telangana,South,Beauty,Skincare,Skincare Item 342,4,37981,22.18,118228.5,Debit Card,Mobile Web
ORD10086,2024-01-05,CUST6772,Female,Bihar,East,Electronics,Accessories,Accessories Item 952,3,15581,11.07,41568.25,,Mobile Web
ORD10087,2024-12-13,CUST1546,Other,Karnataka,South,Fashion,Men Wear,Men Wear Item 742,1,20746,25.77,15399.3,UPI,Mobile Web
ORD10088,2024-06-16,CUST6994,Other,Kerala,South,Beauty,Makeup,Makeup Item 305,2,35850,32.53,48376.56,Credit Card,
ORD10089,2024-09-03,CUST3306,Female,Karnataka,South,Home & Kitchen,,Storage Item 923,1,31192,19.44,25127.21,,Mobile Web
ORD10090,2024-02-16,CUST5295,,Karnataka,South,Beauty,,Skincare Item 370,5,8599,24.1,32635.04,UPI,
ORD10091,2024-04-29,CUST8606,Other,West Bengal,East,Electronics,,Audio Item 724,2,42944,5.63,81050.64,UPI,Website
ORD10092,2024-01-24,CUST3222,,Delhi,North,Home & Kitchen,,Appliances Item 218,1,15887,18.31,12978.27,Credit Card,
ORD10093,2024-12-22,CUST5583,Male,Odisha,East,Beauty,,Makeup Item 524,1,32569,27.31,23673.41,COD,app
ORD10094,2024-08-15,CUST6876,Male,Uttar Pradesh,North,Home & Kitchen,,Furniture Item 802,3,36182,18.53,88437.37,Credit Card,Website
ORD10095,2024-03-03,CUST1349,Male,Telangana,South,Beauty,,Skincare Item 778,2,42554,27.79,61456.61,COD,Website
ORD10096,2024-10-16,CUST3417,Male,Uttar Pradesh,North,Electronics,,Laptops Item 700,2,15769,8.29,28924.89,COD,Website
ORD10097,2024-10-03,CUST4898,Other,Rajasthan,West,Fashion,Men Wear,Men Wear Item 776,1,9137,10.3,8196.14,COD,Mobile Web
ORD10098,2024-01-27,CUST6931,Male,Punjab,North,Beauty,,Skincare Item 863,1,31711,23.97,24111.3,,Website
ORD10099,2024-11-10,CUST7580,,Delhi,North,Home & Kitchen,Appliances,Appliances Item 758,1,4486,19.98,3589.75,Debit Card,
ORD10100,2024-08-15,CUST9984,Other,Haryana,North,Electronics,,Audio Item 722,2,4804,6.26,9006.36,,WEB
ORD10101,2024-05-30,CUST4522,,West Bengal,East,Beauty,,Skincare Item 912,1,43407,28.02,31245.08,COD,app
ORD10102,2024-06-22,CUST5176,Other,Telangana,South,Beauty,Fragrance,Fragrance Item 525,1,20983,23.54,16044.59,Debit Card,App
ORD10103,2024-02-16,CUST3131,Male,Telangana,South,Electronics,,Mobiles Item 542,1,49297,12.39,43190.11,UPI,app
ORD10104,2024-06-30,CUST9313,Female,Telangana,South,Beauty,Skincare,Skincare Item 394,5,20976,22.03,81771.87,Debit Card,Website
ORD10105,2024-02-25,CUST8030,Male,Maharashtra,West,Home & Kitchen,,Furniture Item 880,3,38124,8.39,104773.46,UPI,Website
ORD10106,2024-05-19,CUST7566,Male,Kerala,South,Home & Kitchen,Storage,Storage Item 459,1,12388,18.05,10152.22,UPI,App
ORD10107,2024-09-28,CUST6314,Male,Uttar Pradesh,North,Beauty,Fragrance,Fragrance Item 564,3,10815,22.4,25176.98,COD,Website
ORD10108,2024-11-12,CUST7785,Other,Delhi,North,Electronics,Audio,Audio Item 553,4,32328,11.07,114996.18,,App
ORD10109,2024-06-25,CUST6053,Male,Gujarat,West,Electronics,Audio,Audio Item 794,5,32391,10.27,145323.29,Debit Card,WEB
ORD10110,2024-01-29,CUST2965,Male,Delhi,North,Fashion,,Accessories Item 316,2,17245,15.79,29044.39,Debit Card,Website
ORD10111,2024-03-07,CUST1307,,Gujarat,West,Fashion,Accessories,Accessories Item 173,4,49130,10.85,175205.35,Credit Card,WEB
ORD10112,2024-08-07,CUST6321,Female,Bihar,East,Beauty,,Fragrance Item 396,1,27044,15.42,22874.59,Credit Card,App
ORD10113,2024-08-11,CUST7484,Other,Telangana,South,Electronics,,Laptops Item 546,5,26743,10.24,120023.08,COD,Mobile Web
ORD10114,2024-03-27,CUST3419,Female,Haryana,North,Electronics,Laptops,Laptops Item 894,3,23509,17.18,58408.13,COD,Mobile Web
ORD10115,2024-04-11,CUST8354,Other,Punjab,North,Fashion,,Men Wear Item 281,4,30905,25.09,92605.08,COD,app
ORD10116,2024-02-04,CUST9312,Male,West Bengal,East,Beauty,,Haircare Item 915,3,39259,16.12,98787.29,Debit Card,app
ORD10117,2024-01-20,CUST7299,,Delhi,North,Home & Kitchen,Storage,Storage Item 178,1,40805,13.91,35128.54,Debit Card,
ORD10118,2024-10-19,CUST2013,,Tamil Nadu,South,Fashion,Accessories,Accessories Item 719,4,33357,18.22,109111.93,Credit Card,
ORD10119,2024-02-13,CUST3600,Other,Odisha,East,Fashion,,Men Wear Item 353,4,29297,20.48,93186.29,Credit Card,app
ORD10120,2024-07-28,CUST7333,Other,Karnataka,South,Home & Kitchen,,Furniture Item 908,3,4819,9.95,13019.2,,
ORD10121,2024-03-17,CUST7421,Female,Maharashtra,West,Electronics,Laptops,Laptops Item 458,3,43495,16.78,108591.29,Credit Card,WEB
ORD10122,2024-07-11,CUST7937,Other,Tamil Nadu,South,Home & Kitchen,Decor,Decor Item 786,5,6624,14.69,28254.55,Credit Card,Mobile Web
ORD10123,2024-04-02,CUST5846,Male,Uttar Pradesh,North,Home & Kitchen,Appliances,Appliances Item 296,2,9515,10.25,17078.69,Credit Card,
ORD10124,2024-11-12,CUST3712,,Punjab,North,Beauty,Makeup,Makeup Item 266,2,45906,30.42,63880.99,Debit Card,Mobile Web
ORD10125,2024-12-12,CUST8355,Female,Kerala,South,Fashion,Ethnic,Ethnic Item 725,3,49808,24.97,112111.74,Credit Card,
ORD10126,2024-08-28,CUST5616,,Telangana,South,Fashion,,Accessories Item 794,5,29374,19.23,118621.61,COD,
ORD10127,2024-04-12,CUST2680,Male,Karnataka,South,Fashion,,Accessories Item 153,4,24827,21.09,78363.13,UPI,
ORD10128,2024-03-23,CUST4637,,Rajasthan,West,Beauty,,Makeup Item 950,4,6510,47.5,13671.11,UPI,app
ORD10129,2024-01-28,CUST6221,Male,Gujarat,West,Home & Kitchen,,Decor Item 495,1,25070,8.37,22972.12,COD,Website
ORD10130,2024-01-20,CUST2298,Male,Rajasthan,West,Beauty,,Makeup Item 877,4,29899,27.31,86937.96,COD,
ORD10131,2024-03-17,CUST1782,Female,Odisha,East,Beauty,,Skincare Item 894,3,16073,29.43,34027.07,,app
ORD10132,2024-02-02,CUST3352,Other,Haryana,North,Beauty,,Skincare Item 747,5,38186,19.84,153051.85,UPI,WEB
ORD10133,2024-06-29,CUST2108,Male,Uttar Pradesh,North,Beauty,,Makeup Item 780,1,34807,34.49,22800.99,Debit Card,App
ORD10134,2024-11-21,CUST6649,Female,Gujarat,West,Home & Kitchen,Storage,Storage Item 865,1,23902,16.83,19879.82,,
ORD10135,2024-06-19,CUST8612,,Punjab,North,Electronics,Audio,Audio Item 659,3,42626,6.75,119245.1,COD,App
ORD10136,2024-08-22,CUST6080,,Delhi,North,Home & Kitchen,,Decor Item 144,2,3246,9.73,5860.07,Credit Card,App
ORD10137,2024-11-27,CUST3039,Other,Uttar Pradesh,North,Home & Kitchen,,Storage Item 982,1,43474,9.98,39135.79,Debit Card,
ORD10138,2024-08-13,CUST9507,Other,Gujarat,West,Home & Kitchen,Decor,Decor Item 608,4,24574,18.86,79752.8,Debit Card,App
ORD10139,2024-08-08,CUST5843,Other,Bihar,East,Fashion,,Accessories Item 428,1,5747,16.56,4795.39,,
ORD10140,2024-08-06,CUST6776,,Punjab,North,Beauty,,Haircare Item 557,1,48132,32.4,32536.87,UPI,App
ORD10141,2024-12-09,CUST8179,Male,Tamil Nadu,South,Beauty,Haircare,Haircare Item 625,2,2540,17.86,4172.94,UPI,Website
ORD10142,2024-11-26,CUST8371,Other,Maharashtra,West,Home & Kitchen,,Appliances Item 680,1,40155,7.3,37223.05,Debit Card,
ORD10143,2024-02-09,CUST2858,Male,Bihar,East,Fashion,Accessories,Accessories Item 507,3,43069,15.57,109084.57,Debit Card,WEB
ORD10144,2024-07-17,CUST5678,,Odisha,East,Electronics,Audio,Audio Item 893,3,46639,9.46,126677.03,UPI,Website
ORD10145,2024-02-07,CUST2063,Other,West Bengal,East,Fashion,,Ethnic Item 189,3,44267,16.95,110293.21,COD,
ORD10146,2024-12-29,CUST3275,Female,Kerala,South,Fashion,,Accessories Item 620,2,8453,29.7,11884.47,UPI,Mobile Web
ORD10147,2024-10-10,CUST2412,Male,Bihar,East,Home & Kitchen,,Appliances Item 922,5,9004,14.18,38636.51,Debit Card,
ORD10148,2024-09-02,CUST6194,Male,Odisha,East,Beauty,,Fragrance Item 943,5,5333,17.51,21996.88,Debit Card,
ORD10149,2024-09-21,CUST1907,Male,Maharashtra,West,Fashion,Women Wear,Women Wear Item 886,2,28852,20.06,46130.15,Credit Card,Website
ORD10150,2024-03-23,CUST5496,Female,Maharashtra,West,Fashion,,Accessories Item 631,3,5668,21.02,13430.28,,WEB
ORD10151,2024-02-17,CUST6531,Male,Odisha,East,Fashion,Women Wear,Women Wear Item 275,5,47727,28.04,171721.7,UPI,App
ORD10152,2024-11-24,CUST1496,,Karnataka,South,Home & Kitchen,,Decor Item 885,5,27801,14.27,119166.73,Credit Card,app
ORD10153,2024-05-05,CUST8202,,Karnataka,South,Beauty,,Haircare Item 564,1,45628,16.2,38237.06,Debit Card,Website
ORD10154,2024-06-23,CUST6658,,Bihar,East,Fashion,Accessories,Accessories Item 982,3,48616,29.76,102442.95,Credit Card,WEB
ORD10155,2024-10-14,CUST3308,Male,Haryana,North,Home & Kitchen,Decor,Decor Item 577,1,18029,11.74,15911.69,Credit Card,app
ORD10156,2024-11-11,CUST4110,Female,Gujarat,West,Fashion,,Women Wear Item 933,3,38359,24.42,86972.24,,app
ORD10157,2024-09-12,CUST4944,Female,Rajasthan,West,Beauty,,Skincare Item 192,4,33624,24.14,102022.46,UPI,App
ORD10158,2024-05-24,CUST5333,Other,West Bengal,East,Beauty,,Haircare Item 649,1,7544,23.62,5762.22,Credit Card,App
ORD10159,2024-07-24,CUST8378,Other,Delhi,North,Fashion,Accessories,Accessories Item 666,3,5318,17.73,13125.84,COD,App
ORD10160,2024-07-20,CUST7576,Male,Maharashtra,West,Home & Kitchen,Storage,Storage Item 873,2,13545,14.04,23287.39,UPI,Website
ORD10161,2024-12-31,CUST6218,Female,Maharashtra,West,Beauty,,Fragrance Item 252,5,34284,17.8,140914.75,,
ORD10162,2024-06-02,CUST1272,Other,Bihar,East,Home & Kitchen,,Appliances Item 825,5,20147,12.12,88522.5,UPI,app
ORD10163,2024-10-25,CUST1841,,Rajasthan,West,Electronics,Accessories,Accessories Item 371,5,38355,10.19,172241.56,,
ORD10164,2024-11-13,CUST2800,Female,Karnataka,South,Beauty,Makeup,Makeup Item 941,2,2569,26.45,3778.93,Debit Card,Mobile Web
ORD10165,2024-08-02,CUST2020,Female,Punjab,North,Beauty,Makeup,Makeup Item 520,5,40573,33.41,135086.95,,Mobile Web
ORD10166,2024-12-05,CUST6804,Other,West Bengal,East,Beauty,,Haircare Item 277,4,35439,21.85,110787.22,COD,Website
ORD10167,2024-05-22,CUST9011,Other,Odisha,East,Home & Kitchen,,Decor Item 404,3,46696,8.11,128728.03,Credit Card,WEB
ORD10168,2024-05-20,CUST5712,Male,Rajasthan,West,Electronics,,Accessories Item 504,3,10099,7.9,27902.17,Debit Card,
ORD10169,2024-05-11,CUST5450,Female,Kerala,South,Beauty,Makeup,Makeup Item 306,5,18268,33.66,60594.52,,
ORD10170,2024-10-27,CUST1860,Male,Uttar Pradesh,North,Fashion,,Men Wear Item 785,5,15289,31.86,52087.75,Credit Card,
ORD10171,2024-08-29,CUST8793,,Haryana,North,Fashion,Men Wear,Men Wear Item 663,2,27167,23.06,41805.74,Credit Card,Mobile Web
ORD10172,2024-05-26,CUST1611,Female,Tamil Nadu,South,Electronics,,Mobiles Item 767,5,15718,10.35,70454.74,COD,App
ORD10173,2024-07-22,CUST2758,Other,Karnataka,South,Beauty,,Makeup Item 866,3,2955,15.19,7518.82,Debit Card,
ORD10174,2024-10-05,CUST2845,Other,Odisha,East,Beauty,Makeup,Makeup Item 971,5,31172,20.46,123976.12,Debit Card,
ORD10175,2024-05-11,CUST4164,Female,Kerala,South,Fashion,,Men Wear Item 854,3,19834,21.36,46794.98,Debit Card,WEB
ORD10176,2024-06-16,CUST5064,Male,Haryana,North,Beauty,,Skincare Item 289,2,31790,21.47,49928.08,Debit Card,Website
ORD10177,2024-08-16,CUST5285,Other,Karnataka,South,Home & Kitchen,Storage,Storage Item 409,5,47874,13.59,206832.05,UPI,
ORD10178,2024-03-01,CUST2923,Other,West Bengal,East,Home & Kitchen,,Decor Item 515,5,46608,16.55,194477.44,,Website
ORD10179,2024-04-22,CUST9998,,Punjab,North,Beauty,Makeup,Makeup Item 565,5,24985,23.32,95796.35,COD,
ORD10180,2024-11-01,CUST2838,Male,Telangana,South,Electronics,Accessories,Accessories Item 640,3,5618,19.84,13509.93,,WEB
ORD10181,2024-03-17,CUST2489,,Punjab,North,Home & Kitchen,Appliances,Appliances Item 219,2,47483,19.25,76688.75,Debit Card,Website
ORD10182,2024-09-19,CUST1356,,Gujarat,West,Beauty,,Skincare Item 672,4,44590,31.14,122821.72,UPI,
ORD10183,2024-04-21,CUST1987,Male,Bihar,East,Electronics,,Mobiles Item 533,3,46400,5.64,131352.46,UPI,Mobile Web
ORD10184,2024-07-28,CUST7184,,Punjab,North,Fashion,Ethnic,Ethnic Item 483,4,29895,27.39,86824.16,,Website
ORD10185,2024-11-30,CUST4648,Male,Telangana,South,Home & Kitchen,Furniture,Furniture Item 282,5,26259,12.93,114315.09,Credit Card,app
ORD10186,2024-12-10,CUST3541,Other,Kerala,South,Beauty,Fragrance,Fragrance Item 943,2,16720,24.21,25343.34,UPI,App
ORD10187,2024-12-04,CUST8314,Male,Gujarat,West,Electronics,Laptops,Laptops Item 311,1,7112,10.94,6333.99,UPI,app
ORD10188,2024-08-12,CUST6224,Other,Uttar Pradesh,North,Fashion,Men Wear,Men Wear Item 243,5,19457,14.68,83000.42,Credit Card,Website
ORD10189,2024-12-04,CUST3869,,Odisha,East,Fashion,,Ethnic Item 407,3,4494,21.13,10632.67,UPI,Mobile Web
ORD10190,2024-11-25,CUST7167,Female,Tamil Nadu,South,Beauty,,Haircare Item 813,4,27255,17.98,89413.46,COD,
ORD10191,2024-04-25,CUST9683,Female,Rajasthan,West,Fashion,,Ethnic Item 159,5,27545,29.36,97294.83,COD,Mobile Web
ORD10192,2024-04-14,CUST4120,Male,Maharashtra,West,Electronics,,Accessories Item 967,3,6559,10.36,17639.18,Debit Card,
ORD10193,2024-11-05,CUST4555,,Bihar,East,Electronics,Mobiles,Mobiles Item 292,5,47968,11.71,211743.93,Credit Card,Mobile Web
ORD10194,2024-01-08,CUST4350,,Uttar Pradesh,North,Fashion,Men Wear,Men Wear Item 864,4,16398,23.91,49907.3,,Mobile Web
ORD10195,2024-05-24,CUST9147,,Gujarat,West,Beauty,Haircare,Haircare Item 415,3,24069,25.26,53970.16,Debit Card,
ORD10196,2024-06-12,CUST3390,Male,Uttar Pradesh,North,Home & Kitchen,,Storage Item 523,1,37365,17.96,30653.77,,WEB
ORD10197,2024-10-23,CUST5026,,Kerala,South,Beauty,,Haircare Item 256,2,22118,27.44,32097.41,Credit Card,
ORD10198,2024-09-07,CUST9954,,Kerala,South,Beauty,Fragrance,Fragrance Item 272,3,11592,17.8,28586.16,,
ORD10199,2024-01-31,CUST4791,Male,Odisha,East,Electronics,Mobiles,Mobiles Item 937,1,918,9.12,834.24,UPI,Website
ORD10200,2024-09-15,CUST1257,Male,West Bengal,East,Home & Kitchen,,Furniture Item 732,5,32167,14.89,136887.85,UPI,App
ORD10201,2024-09-28,CUST3937,Male,Kerala,South,Home & Kitchen,Storage,Storage Item 117,5,46234,15.11,196239.07,,Website
