order_id,order_date,cust_id,gender,state,region,category,sub_category,product_name,quantity,unit_price,discount_pct,final_amount,payment_mode
ORD10182,2024-08-25,CUST4088,Other,West Bengal,East,Beauty,Skin Care,skin_care 883,4,23185,18.1,75951.81,UPI
ORD10183,2024-12-04,CUST8314,Female,Tamil Nadu,South,Electronics,Mobile,mobiles 788,1,7112,10.94,6333.99,UPI
ORD10184,2024-01-23,CUST5739,Male,Tamil Nadu,South,Fashion,Men Wear,mens_wear 935,1,9683,20.08,7738.86,Unknown
ORD10185,2024-10-22,CUST5508,Male,Maharashtra,West,Fashion,Men Wear,mens_wear 670,5,14986,25.58,55763.14,Unknown
ORD10186,2024-11-16,CUST7821,Male,West Bengal,East,Beauty,Makeup,Makeup 252,4,34871,21.37,109669.73,COD
ORD10187,2024-04-04,CUST7761,Male,Maharashtra,West,Fashion,Women Wear,Women Wear 670,2,30844,39.61,37251.69,Debit Card
ORD10188,2024-07-17,CUST4120,Male,Haryana,North,Fashion,Unknown,Men Wear 374,4,24818,11.85,87508.98,Credit Card
ORD10189,2024-11-04,CUST6455,Female,Delhi,North,Fashion,Unknown,Item 115,2,31917,14.18,54783.75,COD
ORD10190,2024-03-01,CUST6269,Unknown,West Bengal,East,Fashion,Unknown,Item 389,2,26493,28.3,37989.62,Credit Card
ORD10191,2024-09-30,CUST8692,Unknown,West Bengal,East,Home & Kitchen,Furniture,Furniture 959,5,33089,11.99,145608.04,Credit Card
ORD10192,2024-07-08,CUST7841,Female,Punjab,North,Electronics,Mobile,mobiles 256,2,1562,7.61,2886.33,COD
ORD10193,2024-04-27,CUST9005,Other,Tamil Nadu,South,Fashion,Unknown,Item 757,3,17364,25.27,38929.8,Debit Card
ORD10194,2024-03-27,CUST9882,Other,West Bengal,East,Fashion,Unknown,Item 160,4,12561,39.67,30310.61,Debit Card
ORD10195,2024-02-08,CUST1149,Male,West Bengal,East,Electronics,Mobile,mobiles 617,2,4954,12.07,8711.94,Debit Card
ORD10196,2024-01-31,CUST1274,Female,Maharashtra,West,Beauty,Skin Care,Skincare 839,5,36652,23.23,140694.62,COD
ORD10197,2024-05-26,CUST4144,Female,Delhi,North,Beauty,Skin Care,Skincare 639,1,34866,17.98,28597.81,COD
ORD10198,2024-05-16,CUST4700,Female,Tamil Nadu,South,Home & Kitchen,Appliances,Appliances 800,5,16438,19.85,65872.41,UPI
ORD10199,2024-02-17,CUST3807,Male,Tamil Nadu,South,Beauty,Hair Care,Haircare 611,1,42229,15.19,35814.84,Credit Card
ORD10200,2024-10-16,CUST2218,Other,Delhi,North,Electronics,Mobile,mobiles 387,5,31662,7.71,146102.79,Debit Card
ORD10201,2024-12-02,CUST7525,Male,Delhi,North,Home & Kitchen,Unknown,decor_items 406,5,9949,16.28,41644.62,COD
ORD10202,2024-05-03,CUST6666,Male,Maharashtra,West,Home & Kitchen,Unknown,decor_items 200,1,33319,16.18,27927.37,Credit Card
ORD10203,2024-02-08,CUST7150,Male,Punjab,North,Home & Kitchen,Furniture,Furniture 290,4,32652,8.42,119608.1,Unknown
ORD10204,2024-02-13,CUST3527,Other,Maharashtra,West,Fashion,Unknown,Men Wear 498,1,18061,13.08,15697.82,Credit Card
